name,ja-JP,en-US
H_CompleteDownload,ﾀﾞｳﾝﾛｰﾄﾞ完了通知,
H_FailedDownload,ﾀﾞｳﾝﾛｰﾄﾞ失敗通知,
H_InputAPIKEY,Youtube APIｷｰ入力,
L_AddFavorite,お気に入り追加,
L_AddTemporary,ﾃﾝﾎﾟﾗﾘ追加,
L_APIKEY,APIｷｰ,
L_DelFavorite,お気に入り削除,
L_UrlOrId,URL or ID,
M_AddTemporary,ﾃﾝﾎﾟﾗﾘに追加する情報を入力してください。,
M_CompleteDownload,{0}のﾀﾞｳﾝﾛｰﾄﾞが完了しました。,
M_FailedDownload,何らかの原因で{0}のﾀﾞｳﾝﾛｰﾄﾞが失敗しました。,
M_InputAPIKEY,Youtube APIｷｰを入力してください。,
Moviewer_Core_MenuType_NicoChromium,Chromium,
Moviewer_Core_MenuType_NicoFavorite,Favorite,
Moviewer_Core_MenuType_NicoHistory,History,
Moviewer_Core_MenuType_NicoRanking,Ranking,
Moviewer_Core_MenuType_NicoSearch,Search,
Moviewer_Core_MenuType_NicoTemporary,Temp,
Moviewer_Core_MenuType_TubeChromium,Chromium,
Moviewer_Core_MenuType_TubeFavorite,Favorite,
Moviewer_Core_MenuType_TubeHistory,History,
Moviewer_Core_MenuType_TubeHome,ﾎｰﾑ,
Moviewer_Core_MenuType_TubePopular,急上昇,
Moviewer_Core_MenuType_TubeRanking,Ranking,
Moviewer_Core_MenuType_TubeSearch,Search,
Moviewer_Core_MenuType_TubeTemporary,Temp,
Moviewer_Core_VideoStatus_Delete,DEL,
Moviewer_Core_VideoStatus_New,NEW,
Moviewer_Core_VideoStatus_None,,
Moviewer_Core_VideoStatus_See,SEE,
Moviewer_Core_VideoStatus_Temporary,TEMP,
Moviewer_Nico_Core_NicoSearchType_Mylist,ﾏｲﾘｽﾄ検索,
Moviewer_Nico_Core_NicoSearchType_Tag,ﾀｸﾞ検索,
Moviewer_Nico_Core_NicoSearchType_User,ﾕｰｻﾞ検索,
Moviewer_Nico_Core_NicoSearchType_Word,ﾜｰﾄﾞ検索,
Moviewer_Core_Controls_CounterType_View,View,
Moviewer_Core_Controls_CounterType_Mylist,Mylist,
Moviewer_Core_Controls_CounterType_Comment,Comment,
Moviewer_Core_Controls_CounterType_Like,Like,
